,state,Service Jobs,Construction Jobs,Financial Jobs,Manufacturing Jobs,IT Jobs,B Camp Contr,Cook Partisan Index,Elasticity,National Poll Advantage,Avg Covid Cases,Avg Covid Deaths,Covid Cases Norm.,Covid Deaths Norm.,20 B Poll,16 B Poll ,12 B Poll ,Unemployment Rate,Population,Quart Wages ,Avg Week Wages,Home State Adv,Cost of Voting Index,High School diploma,4 year degree,Adv degree,Urbanization,religiousity,hispanic,white,black,asian,indian,18-25,26-34,35-54,55-64,65+,male,won
37,Utah,17793.14825,2580.693501,2939.574374,660.8895731,667.3761641,-0.48,-20,1.01,-13.1,33735.6875,232.6835938,0.01038059802,7.16E-05,-13.1,-18.1,-48,3.6,3249879,15931855062,1013,0,-0.93,87,36.2,11,10.96,64,0.14,0.78,0.01,0.02,0.01,0.109,0.132,0.242,0.095,0.115,0.5,0
38,Vermont,4099.987331,827.7264645,392.5316184,161.0861571,134.4519741,-0.5,15,1.22,32.4,1215.808163,48.08979592,0.001950451616,7.71E-05,24,28.5,35.6,3.1,623347,2759573886,1022,0,-0.64,85,44.7,15,8.84,34,0.02,0.93,0.01,0.02,0,0.086,0.111,0.247,0.158,0.204,0.494,1
39,Virginia,50499.12029,4380.6126,4988.358974,1085.729683,1018.376404,0.57,1,0.95,19.3,76288.51429,1778.4,0.008880502277,0.0002070178637,10.9,5.4,3.9,4.9,8590563,45105003879,1211,0,-0.51,88,43.2,16.1,10.91,61,0.09,0.62,0.19,0.06,0,0.084,0.12,0.265,0.135,0.163,0.484,1
40,Washington,45809.40301,6175.651466,4085.743724,1130.882178,1182.963663,0.44,7,1.13,33.6,40511.34021,1173.680412,0.005265581395,0.0001525525868,25.2,16.2,3.9,7.1,7693612,48041590205,1435,0,-1.6,87,40.1,12.7,11.12,45,0.13,0.69,0.04,0.09,0.01,0.084,0.138,0.26,0.129,0.16,0.497,1
41,West Virginia,7599.425035,1074.853456,925.6100594,153.0624419,189.3422827,-0.55,19,1.15,-17.3,7270.12766,156.9148936,0.004073386718,8.79E-05,-17.3,-42.2,-26.8,6.3,1784787,5530652901,890,0,0.33,90,24.6,7.9,9.11,69,0.01,0.92,0.04,0.01,0,0.081,0.105,0.251,0.146,0.205,0.491,0
43,Wyoming,4211.957179,812.0554938,622.9889933,104.5984669,96.54951851,-0.41,-25,1.03,-28,3084.041494,27.05809129,0.005296055649,4.65E-05,-28,-47.6,-40.8,4.8,582328,2273183664,929,0,0.08,82,29.3,9.3,8.26,54,0.1,0.84,0.01,0.01,0.02,0.083,0.117,0.242,0.135,0.172,0.509,0
2,Arizona,29696.70625,2683.855239,5051.069757,749.6666111,943.0231233,-0.21,-5,1.13,9.3,93962.81818,2300.601399,0.012661062,0.0003099955653,0.9,-3.5,-9.1,7.5,7421401,32205672645,1073,0,0.54,79,29.8,10.7,11.3,53,0.31,0.55,0.04,0.03,0.04,0.093,0.121,0.241,0.124,0.182,0.493,1
9,Georgia,52833.36587,4781.205979,6306.90588,1480.523256,1165.769393,-0.08,-5,0.85,-1,140930.888,3378.44,0.01315879218,0.0003154467449,-1,-5.1,-7.8,5.6,10710017,48564953001,1082,0,0.98,82,34,11.4,10.55,66,0.1,0.53,0.31,0.04,0,0.089,0.122,0.267,0.125,0.145,0.482,1
18,Michigan,43978.28658,4798.076024,4301.492532,2706.364628,1966.204155,-0.08,1,1.03,12.6,82940.91322,5256.293388,0.008321923997,0.0005273932054,4.2,-0.3,9.5,7.5,9966555,43483585630,1108,0,-0.5,81,34.3,11,10.81,53,0.05,0.75,0.14,0.03,0.01,0.091,0.118,0.246,0.142,0.177,0.49,1
19,Minnesota,29703.96929,4157.997147,3726.599858,1125.808944,1026.23243,-0.18,1,1.01,12.7,49515.2439,1274.252033,0.008752386528,0.0002252386425,4.3,1.5,7.7,4.4,5657342,34227490032,1199,0,-0.39,83,42.7,11.8,10.46,49,0.05,0.8,0.06,0.05,0.01,0.082,0.125,0.252,0.137,0.162,0.496,1
25,New Hampshire,8921.204428,1231.27054,844.9261802,242.9137936,270.3523825,-0.45,0,1.28,16.4,5256.5,285.504,0.003847322098,0.0002089652522,8,0.3,5.6,4,1366275,7887788057,1217,0,0.78,89,40,13.8,9.92,33,0.04,0.9,0.01,0.03,0,0.078,0.115,0.258,0.163,0.186,0.494,1
24,Nevada,14538.33828,922.7325512,2136.24022,256.8754562,434.0611996,-0.06,1,1.08,10.8,37307.20243,769,0.01188786599,0.0002450403233,2.4,2.4,6.7,9.2,3138259,12950958175,1020,0,0.17,83,24.8,8.1,11.77,49,0.29,0.49,0.09,0.08,0.01,0.083,0.131,0.262,0.126,0.163,0.497,1
29,North Carolina,47763.44,6306.69094,7072.1655,1229.996082,1421.665758,-0.14,-3,0.92,-0.2,98107.54618,1719.827309,0.009254710336,0.0001622352632,-0.2,-3.6,-2,6.2,10600823,45987830924,1038,0,-0.03,86,35.7,10.6,10.32,65,0.09,0.63,0.21,0.03,0.01,0.086,0.118,0.26,0.133,0.169,0.48,0
30,Ohio,43650.58055,5026.892224,6350.050787,1619.275224,1135.027533,-0.2,-3,1.07,-1,78718.49794,2798.469136,0.006731979569,0.0002393241429,-1,-8.1,3,5.5,11693217,54423526435,1017,0,0.32,82,34,10.2,10.88,58,0.04,0.79,0.12,0.02,0,0.085,0.119,0.248,0.14,0.174,0.489,0
42,Wisconsin,27315.89616,3223.153347,3092.473084,855.6398191,457.6989853,-0.34,0,1.1,15.1,53879.55072,725.1521739,0.009237568607,0.0001243262586,6.7,-0.7,6.9,5.5,5832655,28943172354,1000,0,0.05,90,35.5,9.9,10.19,45,0.07,0.81,0.06,0.03,0.01,0.085,0.116,0.251,0.143,0.175,0.493,1
33,Pennsylvania,54708.19588,6194.451469,5953.957503,1503.947205,1120.819678,0.23,0,0.93,9.6,98286.54878,5533.772358,0.0076886956,0.0004328923103,1.2,-0.7,5.4,6.7,12783254,66775090107,1160,1,0.29,86,39.4,11.8,11.15,53,0.07,0.76,0.11,0.04,0,0.079,0.123,0.248,0.145,0.187,0.487,1
8,Florida,135789.7675,16852.28599,18744.70817,3828.261674,2808.264208,0.64,-2,1.05,9.3,319765.2789,6294.964143,0.01471314077,0.0002896458737,0.9,-1.2,0.9,6.1,21733312,91076744066,1011,1,0.46,86,32.2,10.3,11.46,54,0.26,0.54,0.15,0.03,0,0.08,0.114,0.249,0.137,0.211,0.485,0
